time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2015-05-27,0.015133333,8.604333333,0,0.380107697,0.055299539,0.110706213,164.1489235,87.15208333
2015-05-28,0.015133333,8.433,0,0.348432056,0.050691244,0.101480696,162.9594386,15.321875
2015-05-29,0.015133333,9.13,0,0.316756414,0.046082949,0.092255178,161.7699536,222.9832386
2015-05-30,0.015133333,9.132,0,0.285080773,0.041474654,0.08302966,160.5804687,214.4352273
2015-05-31,0.015133333,9.134,0,0.253405131,0.036866359,0.073804142,159.3909837,205.8872159
2015-06-01,0.015133333,9.136,0,0.22172949,0.032258065,0.064578624,158.2014988,197.3392045
2015-06-02,0,9.138,0,0.776053215,0.036866359,0.073804142,159.3909837,188.7911932
2015-06-03,0,9.14,0,1.33037694,0.041474654,0.08302966,160.5804687,180.2431818
2015-06-04,0,9.142,0,1.884700665,0.046082949,0.092255178,161.7699536,171.6951705
2015-06-05,0,9.144,0,2.43902439,0.050691244,0.101480696,162.9594386,163.1471591
2015-06-06,0,9.146,0,2.993348115,0.055299539,0.110706213,164.1489235,154.5991477
2015-06-07,0,9.148,0,3.54767184,0.059907834,0.119931731,165.3384085,146.0511364
2015-06-08,0.015133333,9.15,0,4.101995565,0.064516129,0.129157249,166.5278934,137.503125
2015-06-09,0.015133333,9.016666667,0,3.555590751,0.059907834,0.119931731,167.7173784,62.5625
2015-06-10,0.015133333,8.865333333,0,3.009185936,0.055299539,0.110706213,168.9068633,33.275
2015-06-11,0.015133333,8.714,0,2.462781121,0.050691244,0.101480696,170.0963483,3.9875
2015-06-12,0.015133333,9.69075,0,1.916376307,0.046082949,0.092255178,171.2858332,171.953125
2015-06-13,0.015133333,9.7765,0,1.369971492,0.041474654,0.08302966,172.4753182,171.34375
2015-06-14,0.015133333,9.86225,0,0.823566677,0.036866359,0.073804142,173.6648031,170.734375
2015-06-15,0.015133333,9.948,0,0.277161863,0.032258065,0.064578624,174.8542881,170.125
2015-06-16,0.015133333,10.18866667,0,0.300918594,0.032258065,0.064578624,176.043773,126.9895833
2015-06-17,0.015133333,10.42933333,0,0.324675325,0.032258065,0.064578624,177.233258,83.85416667
2015-06-18,0.015133333,10.67,0,0.348432056,0.032258065,0.064578624,178.422743,40.71875
2015-06-19,0.015133333,8.138,0,0.372188787,0.032258065,0.064578624,179.6122279,3.348125
2015-06-20,0.015133333,8.95,0,0.395945518,0.032258065,0.064578624,180.8017129,55.06125
2015-06-21,0.015133333,9.645,0,0.419702249,0.032258065,0.064578624,181.9911978,107.0775
2015-06-22,0.015133333,10.34,0,0.44345898,0.032258065,0.064578624,183.1806828,159.09375
